GeneID,SRR7885663
SLC50A1,30.72064
EFNA1,10.061381
ASH1L,27.365606
LOC112438306,0.0
LOC112438718,0.0
LOC112438281,0.0
RUSC1,39.464027
LOC100983642,1.177378
FDPS,169.100098
PKLR,0.059842
HCN3,28.843489
CLK2,57.02047
SCAMP3,62.506252
ENTREP3,26.713366
GBA1,40.006737
LOC117974643,4.023882
LOC100987557,23.501804
THBS3,31.346651
LOC103785858,14.656323
MIR92B,0.167857
rna-NR_163091.1,0.00011
MUC1,5.776612
LMNA,59.468697
MEX3A,101.822029
RAB25,0.201164
LAMTOR2,119.16272
UBQLN4,84.902779
SSR2,274.978851
ARHGEF2,65.279839
RXFP4,0.433152
KHDC4,37.172546
LOC112438477,0.0
LOC112438470,0.0
RIT1,29.882524
SYT11,315.01413
GON4L,36.542973
LOC100988711,26.277775
LOC134730462,9.003937
DAP3,60.958099
YY1AP1,95.933075
LOC106635285,6.391124
LOC134730518,0.0
LOC112439315,47.531685
LOC117975558,0.064822
KCNN3,8.271845
EFNA3,31.626911
EFNA4,12.759698
ADAM15,27.639944
DCST1,0.284752
LOC103785860,2.329016
DCST2,0.787991
ZBTB7B,9.350092
LOC134730519,1.102572
LENEP,0.004641
FLAD1,39.477436
CKS1B,47.628105
SHC1,80.672142
PYGO2,46.276302
PBXIP1,97.272362
PMVK,36.873543
ADAR,139.880386
CHRNB2,14.199409
TDRD10,0.187225
SHE,0.329566
IL6R,1.013693
LOC130540916,0.012684
UBE2Q1,118.064972
ATP8B2,26.491682
LOC112438394,1.264413
CFAP141,1.583406
LOC103785890,1.285243
LOC100977130,183.096375
LOC129397930,0.116275
LOC112438353,0.0
LOC112438364,0.0
LOC112438451,0.0
HAX1,146.934753
UBAP2L,193.574829
LOC112438473,3.678848
C1H1orf43,108.313797
NUP210L,0.034192
LOC112438278,0.0
RPS27,2439.876953
RAB13,76.52919
JTB,61.284908
CREB3L4,4.546055
SLC39A1,106.949936
DENND4B,33.536182
LOC129397959,0.044815
LOC129397958,0.0
GATAD2B,49.39806
SLC27A3,8.559068
INTS3,43.751244
LOC112438703,0.456848
NPR1,0.986575
TRNAM-CAU,0.0
ILF2,395.949158
SNAPIN,118.481323
S100A14,0.0
S100A16,37.522297
CHTOP,96.850876
S100A13,26.527695
S100A1,0.775812
S100A2,0.156058
LOC130541071,0.006006
S100A3,0.0
S100A4,1.20523
LORICRIN,0.201157
PGLYRP4,0.0
LOC112438287,0.0
LOC130541133,0.0
LOC130541083,0.228132
LOC130541087,0.0
LOC130541084,0.243069
LOC130541088,0.0
LOC130541089,0.0
LCE3C,0.0
S100A5,0.0
S100A6,46.818283
LOC100992193,0.0
TCHH,0.178365
CRNN,0.0
LOC100979830,1.43002
FLG,1.913172
HRNR,0.04584
RPTN,0.0
S100A11,344.823883
LOC100996097,0.348844
S100A10,292.433685
THEM5,0.066548
LOC134730591,0.0
C2CD4D,0.236316
RORC,0.091761
LINGO4,0.290728
THEM4,23.296459
LOC130540922,3.159171
TDRKH,10.149503
OAZ3,5.113369
MRPL9,50.798565
TUFT1,24.358835
CGN,6.024747
LOC117978747,0.0
LOC112438319,0.0
RIIAD1,7.551157
CELF3,146.625732
SNX27,22.87052
LOC112438284,0.0
SELENBP1,24.428726
POGZ,43.340275
PSMB4,311.34845
LOC103785877,29.789726
RFX5,54.238235
PI4KB,58.796772
ZNF687,33.245377
LOC129394421,0.093407
PSMD4,230.455597
PIP5K1A,48.199516
VPS72,173.620361
TMOD4,0.394406
SCNM1,69.657135
LYSMD1,32.32238
TNFAIP8L2,0.195716
SEMA6C,37.099903
GABPB2,4.991131
BNIPL,0.0
MLLT11,1304.363892
CDC42SE1,59.472851
C1H1orf56,12.179963
LOC134730634,0.053716
CTSS,1.783581
HORMAD1,0.05184
LOC112438271,0.0
GOLPH3L,19.18412
LOC129394447,0.148262
LOC106635332,6.17469
ENSA,167.091431
PRUNE1,61.437397
LOC112438294,0.0
MINDY1,17.969086
ANXA9,1.292011
CERS2,153.705429
SETDB1,41.020077
CTXND2,1.853885
LOC103785895,0.321169
ARNT,27.56016
LOC112438283,0.0
CTSK,7.565978
ADAMTSL4,2.208496
LOC103785884,0.301077
MCL1,92.073059
ECM1,10.484161
TARS2,20.913012
RPRD2,34.840504
PRPF3,28.208076
MRPS21,184.736526
LOC134730654,0.129541
CIART,9.012563
APH1A,130.595657
C1H1orf54,65.285324
CA14,76.630798
LOC112438683,0.600196
LOC112438769,0.460013
ANP32E,60.367718
LOC117975206,0.355728
PLEKHO1,116.125427
VPS45,41.844086
LOC117975203,4.646982
LOC100985779,0.310283
LOC103785886,3.351831
LOC100985433,129.081009
OTUD7B,6.631651
MTMR11,21.625673
SF3B4,46.593452
SV2A,143.737976
BOLA1,25.24538
LOC129398042,0.000472
LOC100990996,0.0
LOC117975185,3.211707
LOC117980349,5.527929
LOC100973544,19.020767
LOC103784359,18.744251
LOC112438809,2.869714
TRNAH-GUG,0.360118
LOC129398044,0.053075
LOC112438757,0.0
LOC100984497,11.907739
FCGR1A,0.471193
LOC129398046,0.136172
LOC100989298,0.0
GJA8,0.030815
GJA5,0.360205
ACP6,21.748232
BCL9,54.730656
LOC129394575,37.414364
LOC100976640,0.0
LOC100990288,0.582636
LOC106634368,8.84915
LOC103785123,5.565939
LOC134730762,0.0
LOC117980195,12.117979
LOC112438801,3.604843
LOC112438856,0.076276
LOC117974368,0.589557
LOC100978202,169.032211
LOC129394584,0.6192
LOC117978378,0.433426
LOC134730754,2.723439
