GeneID,SRR7885667,SRR7885671
ANKRD23,13.228648,13.171738
ANKRD24,1.060445,0.255703
ANKRD26,14.0323,10.420823
ANKRD27,13.824784,11.901267
ANKRD28,25.906097,26.512089
ANKRD29,3.811259,1.397619
ANKRD30A,0.0,0.0
ANKRD30B,0.006849,0.0
ANKRD31,0.150705,0.0
ANKRD33,0.446487,0.0
ANKRD33B,3.469947,0.921452
ANKRD34A,2.577183,3.298867
ANKRD34B,0.955162,0.111545
ANKRD34C,0.0,0.0
ANKRD35,0.385235,0.15658
ANKRD36C,6.832959,6.294768
ANKRD37,12.588026,11.91384
ANKRD39,23.386158,27.63287
ANKRD40,28.821259,31.893303
ANKRD42,14.366711,5.543988
ANKRD44,15.94559,8.323955
ANKRD45,14.768438,9.813432
ANKRD46,121.744431,128.789993
ANKRD49,14.824512,23.734905
ANKRD50,26.720783,45.709831
ANKRD52,20.956684,19.798841
ANKRD53,0.0,0.143354
ANKRD54,72.492256,46.193111
ANKRD55,1.353901,0.0
ANKRD6,57.440979,17.466986
ANKRD60,0.0,0.0
ANKRD61,1.208808,1.256093
ANKRD62,0.0,0.0
ANKRD63,5.694303,0.032309
ANKRD65,0.287171,0.0
ANKRD66,5.801923,0.0
ANKRD7,0.0,0.0
ANKRD9,8.726993,6.53221
ANKS1A,35.641495,22.674919
ANKS1B,30.067158,43.874855
ANKS3,16.905342,14.246065
ANKS4B,0.0,0.018822
ANKS6,7.750339,4.773907
ANKUB1,4.126094,0.033805
ANKZF1,25.301714,32.218037
ANLN,15.660341,13.877348
ANO1,0.167755,0.219377
ANO10,16.395958,7.895688
ANO2,0.561355,0.0
ANO3,0.684525,0.0
ANO4,2.976452,2.478224
ANO5,6.359893,4.356188
ANO6,21.659781,12.516964
ANO7,7.44138,5.987227
ANO8,37.806915,41.313622
ANO9,0.0,0.0
ANOS1,21.062714,65.652206
ANP32A,285.215271,353.801025
ANP32B,33.693142,32.238281
ANP32D,3.273356,2.902716
ANP32E,92.430389,80.938072
ANPEP,0.264606,0.0
ANTKMT,4.829686,4.927429
ANTXR1,59.775063,34.337753
ANTXR2,25.472364,8.16177
ANTXRL,0.0,0.0
ANXA1,90.42231,27.475262
ANXA10,0.0,0.0
ANXA11,35.952263,18.948244
ANXA13,0.248671,0.0
ANXA2,418.621521,41.493237
ANXA2R,0.851493,2.525642
ANXA3,2.325138,0.0
ANXA4,5.341086,3.335052
ANXA5,250.59668,236.503647
ANXA6,105.132385,84.971428
ANXA7,64.405403,51.626282
ANXA9,5.943956,10.934406
AOAH,1.358838,0.743455
AOC1,0.0,0.0
AOC2,2.428827,1.343574
AOPEP,6.21668,3.707451
AOX1,4.13377,1.819529
AP1AR,22.469273,23.413479
AP1B1,75.849655,79.273994
AP1G1,67.087471,82.374771
AP1G2,19.191048,5.948508
AP1M1,91.410614,85.117126
AP1M2,1.310363,0.0
AP1S1,156.242859,167.971817
AP1S2,132.542389,293.871094
AP1S3,0.724421,0.203928
AP2A1,99.956047,92.255341
AP2A2,91.188194,75.342743
AP2B1,237.775482,193.72551
AP2M1,391.053314,430.390991
AP2S1,163.737473,151.422501
AP3B1,12.787777,11.608736
AP3B2,55.497322,72.332153
AP3D1,75.735435,73.457893
AP3M1,68.893349,91.424576
AP3M2,43.462841,31.248859
AP3S1,97.444733,52.321568
AP3S2,45.90715,49.052456
AP4B1,24.480537,28.934132
AP4E1,5.203123,7.222345
AP4M1,31.488869,39.122841
AP4S1,11.903451,18.421537
AP5B1,6.186582,3.918089
AP5M1,43.382233,52.24963
AP5S1,9.535898,9.851512
AP5Z1,25.447409,34.680378
APAF1,17.96384,26.661825
APBA1,30.515205,14.950187
APBA2,87.746147,71.056328
APBA3,14.568318,20.202799
APBB1,187.138657,192.746124
APBB1IP,0.0,0.0
APBB2,30.720066,58.797962
APBB3,28.478977,25.80448
APC,98.006813,136.479782
APC2,60.575768,72.443954
APCDD1,89.344841,20.812075
APCDD1L,0.047027,0.0
APEH,61.34985,64.074554
APELA,0.717218,0.0
APEX1,397.8237,474.149994
APEX2,11.974515,11.968681
APH1A,133.384644,154.925583
APH1B,16.629395,16.7204
API5,103.752769,130.910782
APIP,70.26944,84.412956
APLF,5.749466,3.191582
APLN,1.825697,0.40326
APLNR,0.133123,0.0
APLP1,481.37204,252.430832
APLP2,372.147217,299.424957
APMAP,70.728416,72.481674
APOA1,1.80012,0.0
APOA2,0.0,0.0
APOA4,0.0,0.0
APOA5,0.187149,0.0
APOB,0.0,0.0
APOBEC1,0.0,0.0
APOBEC2,0.105243,0.0
APOBEC3B,0.0,0.0
APOBEC3C,6.706622,1.812819
APOBEC3D,0.294923,0.0
APOBEC3F,0.236991,0.076309
APOBEC3G,0.625887,0.0
APOBEC3H,0.0,0.0
APOBEC4,0.041261,0.0
APOBR,0.16715,0.10335
APOC1,0.478913,0.861341
APOC2,0.0,0.0
APOC3,0.0,0.0
APOC4,0.0,0.0
APOD,0.149798,0.0
APOE,92.632988,77.809525
APOF,0.0,0.0
APOH,1.039253,1.269485
APOL1,0.369168,0.163033
APOL2,8.547536,4.493043
APOL3,0.0,0.124856
APOL4,6.676463,26.146994
APOL5,0.0,0.0
APOL6,0.292656,0.041213
APOLD1,1.552362,0.992306
APOM,1.318443,2.085975
APOO,63.217529,109.333206
APOOL,16.626724,15.103345
APP,886.965881,378.195068
APPBP2,43.335827,51.27375
APPL1,40.498386,41.396
APPL2,95.19561,115.914925
APRG1,0.0,0.0
APRT,42.444252,37.881363
APTX,24.38306,25.696844
AQP1,9.098091,4.519203
AQP10,0.0,0.0
AQP11,5.700561,2.380821
AQP2,0.501171,0.0
AQP3,2.120607,0.578794
AQP4,14.230383,73.295639
AQP5,0.235777,0.0
AQP6,0.0,0.006723
AQP7,0.0,0.0
AQP8,0.0,0.0
AQP9,0.0,0.027399
AQR,34.330635,40.776718
AR,5.221474,4.911963
ARAF,27.820908,31.08803
ARAP1,10.788646,11.314911
ARAP2,5.610763,12.137743
ARAP3,2.628612,0.821702
ARB2A,41.973675,24.114491
ARC,1.917414,5.616093
ARCN1,113.144775,99.83886
AREG,0.299607,0.0
AREL1,53.98901,51.259289
ARF1,425.076813,513.555664
ARF3,166.47226,169.554489
ARF4,198.777573,219.655441
ARF5,306.490845,294.461151
ARF6,52.53326,67.398888
ARFGAP1,52.705513,58.431274
ARFGAP2,66.899155,95.043282
ARFGAP3,54.306427,54.485661
ARFGEF1,38.78952,44.100368
