GeneID,SRR8750495,SRR8750496,SRR8750497,SRR8750498
GUSBP4,4.119252,2.361664,2.694392,1.957454
GUSBP5,1.01715,0.86991,0.811544,1.912008
GVINP1,0.314613,0.181857,0.572474,0.44992
GVQW3,8.054523,5.129827,3.166305,5.664306
GXYLT1,4.192849,3.31062,6.153924,2.511491
GXYLT1P3,0.321923,0.376567,0.125216,0.292922
GXYLT2,2.340335,1.152367,3.319618,1.86439
GYG1,21.066967,18.439676,30.58239,24.239981
GYG2,9.44278,8.049689,12.212195,4.434097
GYG2P1,4.859909,0.0,0.0,7.613398
GYPA,0.0,0.0,0.367626,0.093448
GYPB,0.0,0.668105,0.0,0.82243
GYPC,21.744947,36.044987,92.421463,12.741337
GYPE,0.772554,0.896685,0.639984,0.57774
GYS1,26.317535,17.301935,27.63662,38.136391
GYS2,0.178472,0.179662,0.661685,0.289299
GZF1,17.593758,12.03789,17.071648,17.136581
GZMA,0.0,0.0,1.145384,0.0
GZMB,0.0,0.0,0.0,0.732804
GZMH,0.0,0.502755,1.896574,0.702328
GZMH-AS1,0.192984,0.33935,0.209666,0.07265
GZMK,0.446844,0.066178,0.999687,0.0
GZMM,1.050828,1.068607,5.654347,1.383525
H1-0,167.166702,127.847328,125.320595,196.519287
H1-1,0.0,0.0,0.0,0.0
H1-10,181.061249,311.879456,183.927994,387.981964
H1-10-AS1,5.647489,6.455764,5.65225,6.59319
H1-2,11.413771,20.293476,183.294357,37.051311
H1-3,0.0,0.0,1.128165,0.0
H1-4,1.035594,0.0,2.33522,0.431086
H1-5,0.0,0.0,0.0,0.0
H1-6,0.0,0.272476,0.965589,0.0
H1-7,0.846319,0.454456,0.0,1.481885
H1-8,0.0,0.0,0.0,0.0
H1-9P,0.827856,0.169448,1.864059,1.261512
H19,1.995069,2.396045,130.039093,24.357586
H2AB1,0.892567,0.155782,0.703248,0.0
H2AB2,0.135555,0.154728,1.160721,0.0
H2AB3,0.0,0.089533,1.305069,0.0
H2AC1,0.0,0.0,0.0,0.0
H2AC11,1.477669,0.0,0.759563,0.701894
H2AC12,0.0,0.337243,0.0,0.0
H2AC13,0.0,0.253234,0.611909,0.0
H2AC14,0.0,0.647561,0.700772,0.0
H2AC15,2.009278,1.553626,1.334725,1.490817
H2AC16,0.0,0.0,0.0,0.0
H2AC17,0.0,0.0,0.51174,0.729651
H2AC18,20.783197,34.707283,195.231628,29.786261
H2AC19,19.004002,28.193699,171.350983,26.963003
H2AC20,1.120064,1.150177,3.278528,1.323447
H2AC21,0.0,0.359716,0.084859,0.0
H2AC25,27.016291,41.610294,38.689449,46.965576
H2AC2P,0.0,0.190861,0.0,0.0
H2AC4,0.0,0.0,0.0,0.0
H2AC6,20.046173,11.729723,119.151505,28.682468
H2AC7,0.291128,0.354576,1.815846,0.0
H2AC8,2.522696,2.549781,25.330851,3.758937
H2AJ,30.178438,33.044228,70.656197,32.866863
H2AL3,0.0,0.0,0.0,0.0
H2AP,0.701484,0.0,0.0,0.0
H2AX,30.776058,77.787132,135.638046,65.481522
H2AZ1,278.676727,327.68103,247.65741,307.221405
H2AZ1-DT,0.0,0.0,0.0,0.667664
H2AZ2,113.094902,85.302467,117.078163,113.566551
H2AZ2-DT,0.0,0.0,0.121153,1.536808
H2BC1,0.0,0.139042,0.0,0.0
H2BC10,0.0,0.48602,0.0,0.0
H2BC11,0.527408,0.6229,4.00718,0.0
H2BC12,12.580328,22.316666,65.070831,19.630161
H2BC12L,0.61757,0.508232,2.276932,0.414871
H2BC13,0.0,0.405519,0.0,0.0
H2BC14,0.0,0.737667,0.456052,0.0
H2BC15,0.0,0.46634,0.374923,0.0
H2BC17,0.343095,0.308019,0.0,0.0
H2BC18,1.958288,3.436367,22.397688,2.824151
H2BC20P,1.486627,1.845729,17.064657,3.215561
H2BC21,17.50231,10.01362,88.944862,22.998106
H2BC26,3.143601,1.595274,4.548805,2.50289
H2BC3,0.0,0.0,0.230939,0.0
H2BC4,2.524092,1.033461,7.060699,3.162476
H2BC5,10.621425,7.450224,86.524857,17.231277
H2BC6,0.654537,0.564012,2.110122,1.702895
H2BC6-AS1,2.41647,1.785471,5.209256,1.473533
H2BC7,0.46069,0.0,4.704151,0.0
H2BC8,0.190042,1.699834,12.600038,1.034635
H2BC9,0.524836,0.0,4.09138,0.0
H2BK1,0.0,0.0,0.0,0.413982
H2BN1,0.0,0.0,0.0,0.0
H2BP1,0.911581,0.377498,4.18554,0.650738
H2BP2,1.065071,0.256421,2.08151,0.211137
H2BW1,0.0,0.0,0.0,0.0
H2BW2,0.0,0.0,0.475771,0.0
H2BW3P,1.322937,2.354562,3.869359,2.919252
H2BW4P,1.18551,2.739731,3.255798,1.546909
H3-3A,192.497726,227.373749,419.213684,223.157089
H3-3A-DT,0.228634,1.559814,1.181787,0.59896
H3-3B,215.22963,174.221878,241.265625,274.63681
H3-4,0.405739,0.0,0.0,0.209872
H3-5,2.435771,2.866376,2.924674,3.59171
H3-7,2.921202,0.833498,7.619824,2.460651
H3C1,1.421422,0.0,0.724557,0.289788
H3C10,0.0,0.50739,6.161403,0.0
H3C11,0.0,0.0,0.804502,0.252803
H3C12,0.575809,0.0,0.199693,0.071054
H3C13,1.143328,0.533997,3.134478,1.757938
H3C14,0.410284,1.17066,13.907734,2.26504
H3C15,0.413452,1.281851,15.048247,2.418094
H3C2,0.516316,0.0,0.0,0.0
H3C3,0.0,0.0,0.667946,0.0
H3C4,1.223191,0.798685,11.349531,0.252301
H3C6,0.717651,0.503458,3.151566,0.824948
H3C7,0.0,0.351501,0.0,0.0
H3C8,0.0,0.0,0.0,0.0
H3P14,0.153599,1.692422,0.326716,0.486636
H3P4,1.696986,1.718929,3.506435,2.289994
H3P6,68.362785,87.05233,165.507721,86.500305
H3Y1,0.535181,0.222582,0.0,0.0
H3Y2,0.0,0.441532,0.0,0.0
H4C1,0.0,0.0,0.0,0.0
H4C11,3.608159,1.214996,9.164742,1.165762
H4C12,4.239553,2.299184,6.89711,3.849843
H4C13,0.0,0.0,0.0,0.0
H4C14,6.995697,5.273539,29.286753,6.782265
H4C15,5.796381,3.752276,26.086811,6.514458
H4C16,0.0,0.723215,1.153957,0.983632
H4C2,0.0,0.0,0.599492,0.0
H4C3,9.202076,5.761412,9.312318,6.490541
H4C4,0.0,0.0,0.770629,0.0
H4C5,2.055965,0.748153,10.398014,1.215679
H4C6,0.0,0.0,0.0,0.0
H4C7,0.0,0.0,0.0,0.0
H4C8,3.844363,1.803715,14.483384,5.477588
H4C9,0.0,0.753128,0.540832,0.0
H6PD,8.782518,5.505671,8.913983,5.231184
HAAO,6.019104,5.147516,6.721907,3.443129
HABP2,0.838514,0.808678,0.3998,0.415637
HABP4,204.030212,214.257477,98.977676,245.171036
HACD1,3.065367,4.895403,4.06695,4.291209
HACD2,30.07163,25.269283,28.696747,29.670738
HACD3,146.738693,106.679802,117.024956,121.56308
HACD4,3.442857,2.277681,5.469336,1.91461
HACE1,23.410629,13.992378,8.177928,16.843575
HACL1,24.173933,14.95414,8.707323,13.857847
HACL2,52.728794,53.178574,44.115269,46.970135
HADH,39.819534,37.473045,50.322594,31.370564
HADHA,80.471481,70.088318,119.766312,82.860901
HADHB,110.070084,112.363419,236.889557,110.09449
HAFML,0.0,0.0,0.0,0.0
HAGH,129.948181,202.745071,117.914436,196.765488
HAGHL,49.038628,113.041862,107.754059,80.066147
HAGLR,1.376256,1.476571,1.685096,0.725538
HAGLROS,0.0,0.283964,0.0,0.0
HAL,0.15966,0.0,0.0,0.0
HAMP,6.877324,7.903426,75.544296,16.734093
HAND1,0.0,0.626989,0.0,0.129817
HAND2,0.0,0.110099,0.216912,0.0
HAND2-AS1,0.070973,0.119091,0.057664,0.035869
HAO1,0.0,0.0,0.0,0.0
HAO2,0.595263,0.0,0.0,0.041926
HAO2-IT1,0.0,0.0,0.0,0.0
HAP1,14.433449,12.749789,32.644844,9.348529
HAPLN1,4.050238,2.346465,0.936104,3.579105
HAPLN2,51.534763,78.144882,62.225964,143.049454
HAPLN3,12.92662,5.614401,15.779471,4.195932
HAPLN4,89.130592,112.328453,38.757618,84.022705
HAPSTR1,62.102272,47.603806,34.398975,59.849724
HAPSTR2,14.720647,15.708382,5.892023,14.496615
HAR1A,13.657293,20.89271,6.245185,25.790873
HAR1B,4.976409,6.334635,2.296989,5.718379
HARBI1,5.231753,1.944863,4.40288,1.77877
HARS1,154.600723,163.992416,83.139351,164.176987
HARS2,28.602978,24.292194,21.341799,23.525574
HAS1,6.039238,9.768456,3.126985,10.488246
HAS2,0.462831,0.267931,0.70612,0.279136
HAS2-AS1,0.0,0.294494,0.311201,0.697046
HAS3,0.623046,0.688802,1.058877,0.792955
HASPIN,0.0,0.055102,0.0,0.087115
HAT1,24.694387,19.82106,30.85866,18.067181
HAUS1,7.354621,7.107501,14.198497,7.154227
HAUS2,15.372686,13.773929,12.555202,14.882096
HAUS3,3.867062,3.322902,4.198296,3.876497
HAUS4,19.855217,18.807549,27.714787,9.337502
HAUS5,6.223155,3.999373,6.149744,2.305106
HAUS5-DT,0.0,0.0,0.0,0.0
HAUS6,5.846252,4.401945,7.939634,5.372527
HAUS7,35.991631,49.101398,40.737106,35.119011
HAUS8,2.479867,1.742276,4.495331,1.93898
HAVCR1,0.0,0.34096,0.0,0.0
HAVCR1P1,0.298747,0.723727,1.401258,0.591896
HAVCR2,8.525773,4.478679,18.533545,4.224564
HAX1,145.413834,145.193619,132.727753,137.899323
HBA1,166.617981,955.829346,373.512909,1021.202698
HBA2,191.782211,1129.731567,419.6922,1159.329224
HBB,223.80687,1170.191162,400.349304,992.543884
HBBP1,0.0,0.26842,0.0,0.0
HBD,0.0,6.383536,1.181155,5.518638
